Allée du Président Salvador Allende  93450 L'Ile-Saint-Denis.
Allée Salvador Allende  33600 Pessac.
Allée Salvador Allende  45100 Orléans.
Allée Salvador Allende  51120 Sézanne.
Allée Salvador Allende  72230 Arnage.
Avenue Allende  84000 Avignon.
Avenue du Président Allende  03600 Commentry.
Avenue du Président Allende  13500 Martigues.
Avenue du Président Allende  29480 Le Relecq-Kerhuon.
Avenue du Président Allende  37540 Saint-Cyr-sur-Loire.
Avenue du Président Allende  56700 Hennebont.
Avenue du Président Allende  59113 Seclin.
Avenue du Président Allende  76380 Canteleu.
Avenue du Président Allende  91560 Crosne.
Avenue du Président Allende  94800 Villejuif.
Avenue du Président Salvador Allende  13200 Arles.
Avenue du Président Salvador Allende  17100 Saintes.
Avenue du Président Salvador Allende  26800 Portes-lès-Valence.
Avenue du Président Salvador Allende  40990 Saint-Paul-lès-Dax.
Avenue du Président Salvador Allende  56600 Lanester.
Avenue du Président Salvador Allende  77100 Meaux.
Avenue du Président Salvador Allende  91100 Corbeil-Essonnes.
Avenue du Président Salvador Allende  93000 Bobigny.
Avenue Salvador Allende  11300 Limoux.
Avenue Salvador Allende  12300 Firmi.
Avenue Salvador Allende  12700 Capdenac-Gare.
Avenue Salvador Allende  13127 Vitrolles.
Avenue Salvador Allende  13190 Allauch.
Avenue Salvador Allende  18000 Bourges.
Avenue Salvador Allende  21800 Quetigny.
Avenue Salvador Allende  31120 Portet-sur-Garonne.
Avenue Salvador Allende  31140 Aucamville.
Avenue Salvador Allende  31200 Toulouse.
Avenue Salvador Allende  31210 Montréjeau.
Avenue Salvador Allende  31320 Castanet-Tolosan.
Avenue Salvador Allende  33270 Floirac.
Avenue Salvador Allende  33610 Cestas.
Avenue Salvador Allende  38130 Echirolles.
Avenue Salvador Allende  40220 Tarnos.
Avenue Salvador Allende  49240 Avrillé.
Avenue Salvador Allende  57390 Audun-le-Tiche.
Avenue Salvador Allende  58640 Varennes-Vauzelles.
Avenue Salvador Allende  59790 Ronchin.
Avenue Salvador Allende  60000 Beauvais.
Avenue Salvador Allende  62300 Lens.
Avenue Salvador Allende  63200 Riom.
Avenue Salvador Allende  63800 Cournon-d'Auvergne.
Avenue Salvador Allende  69150 Décines-Charpieu.
Avenue Salvador Allende  69800 Saint-Priest.
Avenue Salvador Allende  71100 Chalon-sur-Saône.
Avenue Salvador Allende  77200 Torcy.
Avenue Salvador Allende  78190 Trappes.
Avenue Salvador Allende  79000 Niort.
Avenue Salvador Allende  80000 Amiens.
Avenue Salvador Allende  83300 Draguignan.
Avenue Salvador Allende  83500 La Seyne-sur-Mer.
Avenue Salvador Allende  84500 Bollène.
Avenue Salvador Allende  87120 Eymoutiers.
